Title,Rating,Year,Month,Directors,Genre,Budget,Income,Country_of_origin
Avatar: The Way of Water,7.8,2022,December,James Cameron,"Action, Adventure, Fantasy","$350,000,000","$2,267,946,983",United States
Guillermo del Toro's Pinocchio,7.6,2022,December,"Guillermo del Toro, Mark Gustafson","Animation, Drama, Family","$35,000,000","$108,967","United States, Mexico, France"
Bullet Train,7.3,2022,August,David Leitch,"Action, Comedy, Thriller","$85,900,000","$239,268,602","Japan, United States"
The Banshees of Inisherin,7.8,2022,November,Martin McDonagh,"Comedy, Drama","$85,900,000","$19,720,823","Ireland, United Kingdom, United States"
M3gan,6.4,2022,December,Gerard Johnstone,"Horror, Sci-Fi, Thriller","$12,000,000","$171,253,910",United States
Emancipation,6.1,2022,December,Antoine Fuqua,"Action, Thriller","$120,000,000","$171,253,910",United States
Amsterdam,6.1,2022,October,David O Russell,"Comedy, Drama, History","$80,000,000","$31,245,810","United States, Japan"
Violent Night,6.9,2022,December,Tommy Wirkola,"Action, Comedy, Crime","$20,000,000","$59,595,460","United States, Canada"
The Whale,7.8,2022,December,Darren Aronofsky,Drama,"$10,000,000","$31,104,312",United States
The Fabelmans,7.6,2022,November,Steven Spielberg,Drama,"$40,000,000","$9,500,361",United States
The Menu,7.5,2022,November,Mark Mylod,"Comedy, Horror, Thriller","$35,000,000","$65,878,071",United States
Babylon,7.3,2022,December,Damien Chazelle,"Comedy, Drama, History","$78,000,000","$61,851,455",United States
X,6.6,2022,March,Ti West,"Horror, Mystery, Thriller","$1,000,000","$14,779,858","United States, Canada"
Bones and All,7,2022,November,Luca Guadagnino,"Drama, Horror, Romance","$16,000,000","$14,134,907","Italy, United States"
Black Adam,6.5,2022,October,Jaume Collet Serra,"Action, Adventure, Fantasy","$195,000,000","$391,273,355","United States, Canada, New Zealand, Hungary"
Spirited,6.6,2022,November,Sean Anders,"Comedy, Family, Musical","$100,000,000","$391,273,355",United States
Lady Chatterley's Lover,6.7,2022,December,Laure de Clermont Tonnerre,"Drama, Romance","$100,000,000","$391,273,355","United Kingdom, United States"
A Christmas Story Christmas,6.8,2022,November,Clay Kaytis,"Comedy, Family","$100,000,000","$391,273,355","United States, Mexico, Hungary, Canada"
Troll,5.8,2022,December,Roar Uthaug,"Action, Adventure, Drama","$100,000,000","$391,273,355",Norway
Black Panther: Wakanda Forever,6.8,2022,November,Ryan Coogler,"Action, Adventure, Drama","$250,000,000","$791,852,924",United States
Glass Onion: A Knives Out Mystery,7.6,2022,December,Rian Johnson,"Comedy, Crime, Drama","$40,000,000","$13,280,000",United States
Triangle of Sadness,7.6,2022,September,Ruben stlund,"Comedy, Drama","â‚¬10,000,000","$17,211,145","Sweden, France, United Kingdom, Germany, Turkey, Greece, United States, Denmark, Switzerland, Mexico"
Everything Everywhere All at Once,8.1,2022,March,"Dan Kwan, Daniel Scheinert","Action, Adventure, Comedy","$25,000,000","$103,384,361",United States
Emily the Criminal,6.7,2022,August,John Patton Ford,"Crime, Drama, Thriller","$3,000,000","$2,156,296",United States