Periode,Toyota,Daihatsu,Honda,Mitsubishi,Suzuki,Others,Total
Jan-2011,"27,620","12,590","4,928","10,673","6,630","11,546","73,987"
Feb-2011,"25,563","9,958","4,558","10,480","6,802","12,228","69,589"
Mar-2011,"32,311","10,186","4,193","13,074","8,016","14,383","82,163"
Apr-2011,"21,146","8,160","2,056","10,913","7,256","11,195","60,726"
May-2011,"19,564","10,453","3,673","11,048","7,520","8,795","61,053"
Jun-2011,"26,191","11,075","2,165","11,009","7,519","12,195","70,154"
Jul-2011,"30,188","14,107","5,234","13,724","9,258","16,545","89,056"
Aug-2011,"25,267","11,132","4,600","8,902","7,445","15,933","73,279"
Sep-2011,"30,728","12,723","4,887","7,749","8,261","15,484","79,832"
Oct-2011,"31,191","13,065","4,024","11,495","9,271","17,299","86,345"
Nov-2011,"15,265","10,311","2,907","13,532","8,732","16,908","67,655"
Dec-2011,"26,102","15,784","2,191","11,817","7,859","16,572","80,325"